,Title,Price,Availability,Rating,Product Page,Genre,Rating_Numeric
24,Hide Away (Eve Duncan #20),11.84,In stock,One,https://books.toscrape.com/catalogue/hide-away-eve-duncan-20_620/index.html,Mystery,1
25,Boar Island (Anna Pigeon #19),59.48,In stock,Three,https://books.toscrape.com/catalogue/boar-island-anna-pigeon-19_613/index.html,Mystery,3
26,The Widow,27.26,In stock,Two,https://books.toscrape.com/catalogue/the-widow_609/index.html,Mystery,2
27,Playing with Fire,13.71,In stock,Three,https://books.toscrape.com/catalogue/playing-with-fire_602/index.html,Mystery,3
28,What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,In stock,Five,https://books.toscrape.com/catalogue/what-happened-on-beale-street-secrets-of-the-south-mysteries-2_506/index.html,Mystery,5
29,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,In stock,Five,https://books.toscrape.com/catalogue/the-bachelor-girls-guide-to-murder-herringford-and-watts-mysteries-1_491/index.html,Mystery,5
30,Delivering the Truth (Quaker Midwife Mystery #1),20.89,In stock,Four,https://books.toscrape.com/catalogue/delivering-the-truth-quaker-midwife-mystery-1_464/index.html,Mystery,4
31,The Mysterious Affair at Styles (Hercule Poirot #1),24.8,In stock,Four,https://books.toscrape.com/catalogue/the-mysterious-affair-at-styles-hercule-poirot-1_452/index.html,Mystery,4
32,In the Woods (Dublin Murder Squad #1),38.38,In stock,Two,https://books.toscrape.com/catalogue/in-the-woods-dublin-murder-squad-1_433/index.html,Mystery,2
33,The Silkworm (Cormoran Strike #2),23.05,In stock,Five,https://books.toscrape.com/catalogue/the-silkworm-cormoran-strike-2_280/index.html,Mystery,5
34,The Exiled,43.45,In stock,Three,https://books.toscrape.com/catalogue/the-exiled_247/index.html,Mystery,3
35,The Cuckoo's Calling (Cormoran Strike #1),19.21,In stock,One,https://books.toscrape.com/catalogue/the-cuckoos-calling-cormoran-strike-1_239/index.html,Mystery,1
36,Extreme Prey (Lucas Davenport #26),25.4,In stock,Three,https://books.toscrape.com/catalogue/extreme-prey-lucas-davenport-26_154/index.html,Mystery,3
37,Career of Evil (Cormoran Strike #3),24.72,In stock,Two,https://books.toscrape.com/catalogue/career-of-evil-cormoran-strike-3_137/index.html,Mystery,2
38,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,In stock,Four,https://books.toscrape.com/catalogue/the-no-1-ladies-detective-agency-no-1-ladies-detective-agency-1_76/index.html,Mystery,4
39,The Girl You Lost,12.29,In stock,Five,https://books.toscrape.com/catalogue/the-girl-you-lost_66/index.html,Mystery,5
40,The Girl In The Ice (DCI Erika Foster #1),15.85,In stock,Three,https://books.toscrape.com/catalogue/the-girl-in-the-ice-dci-erika-foster-1_65/index.html,Mystery,3
41,Blood Defense (Samantha Brinkman #1),20.3,In stock,Three,https://books.toscrape.com/catalogue/blood-defense-samantha-brinkman-1_8/index.html,Mystery,3
42,1st to Die (Women's Murder Club #1),53.98,In stock,One,https://books.toscrape.com/catalogue/1st-to-die-womens-murder-club-1_2/index.html,Mystery,1
43,Tipping the Velvet,53.74,In stock,One,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,Historical Fiction,1
44,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,In stock,Three,https://books.toscrape.com/catalogue/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html,Historical Fiction,3
45,A Flight of Arrows (The Pathfinders #2),55.53,In stock,Five,https://books.toscrape.com/catalogue/a-flight-of-arrows-the-pathfinders-2_876/index.html,Historical Fiction,5
46,The House by the Lake,36.95,In stock,One,https://books.toscrape.com/catalogue/the-house-by-the-lake_846/index.html,Historical Fiction,1
47,Mrs. Houdini,30.25,In stock,Five,https://books.toscrape.com/catalogue/mrs-houdini_821/index.html,Historical Fiction,5
48,The Marriage of Opposites,28.08,In stock,Four,https://books.toscrape.com/catalogue/the-marriage-of-opposites_759/index.html,Historical Fiction,4
49,Glory over Everything: Beyond The Kitchen House,45.84,In stock,Three,https://books.toscrape.com/catalogue/glory-over-everything-beyond-the-kitchen-house_696/index.html,Historical Fiction,3
50,"Love, Lies and Spies",20.55,In stock,Two,https://books.toscrape.com/catalogue/love-lies-and-spies_622/index.html,Historical Fiction,2
51,A Paris Apartment,39.01,In stock,Four,https://books.toscrape.com/catalogue/a-paris-apartment_612/index.html,Historical Fiction,4
52,Lilac Girls,17.28,In stock,Two,https://books.toscrape.com/catalogue/lilac-girls_597/index.html,Historical Fiction,2
53,The Constant Princess (The Tudor Court #1),16.62,In stock,Three,https://books.toscrape.com/catalogue/the-constant-princess-the-tudor-court-1_493/index.html,Historical Fiction,3
54,The Invention of Wings,37.34,In stock,One,https://books.toscrape.com/catalogue/the-invention-of-wings_448/index.html,Historical Fiction,1
55,World Without End (The Pillars of the Earth #2),32.97,In stock,Four,https://books.toscrape.com/catalogue/world-without-end-the-pillars-of-the-earth-2_420/index.html,Historical Fiction,4
56,The Passion of Dolssa,28.32,In stock,Five,https://books.toscrape.com/catalogue/the-passion-of-dolssa_351/index.html,Historical Fiction,5
57,Girl With a Pearl Earring,26.77,In stock,One,https://books.toscrape.com/catalogue/girl-with-a-pearl-earring_322/index.html,Historical Fiction,1
58,Voyager (Outlander #3),21.07,In stock,Five,https://books.toscrape.com/catalogue/voyager-outlander-3_299/index.html,Historical Fiction,5
59,The Red Tent,35.66,In stock,Five,https://books.toscrape.com/catalogue/the-red-tent_273/index.html,Historical Fiction,5
60,The Last Painting of Sara de Vos,55.55,In stock,Two,https://books.toscrape.com/catalogue/the-last-painting-of-sara-de-vos_259/index.html,Historical Fiction,2
61,The Guernsey Literary and Potato Peel Pie Society,49.53,In stock,One,https://books.toscrape.com/catalogue/the-guernsey-literary-and-potato-peel-pie-society_253/index.html,Historical Fiction,1
62,Girl in the Blue Coat,46.83,In stock,Two,https://books.toscrape.com/catalogue/girl-in-the-blue-coat_160/index.html,Historical Fiction,2
63,Between Shades of Gray,20.79,In stock,Five,https://books.toscrape.com/catalogue/between-shades-of-gray_128/index.html,Historical Fiction,5
64,While You Were Mine,41.32,In stock,Five,https://books.toscrape.com/catalogue/while-you-were-mine_97/index.html,Historical Fiction,5
65,The Secret Healer,34.56,In stock,Three,https://books.toscrape.com/catalogue/the-secret-healer_80/index.html,Historical Fiction,3
66,Starlark,25.83,In stock,Three,https://books.toscrape.com/catalogue/starlark_56/index.html,Historical Fiction,3
67,Lost Among the Living,27.7,In stock,Four,https://books.toscrape.com/catalogue/lost-among-the-living_31/index.html,Historical Fiction,4
68,A Spy's Devotion (The Regency Spies of London #1),16.97,In stock,Five,https://books.toscrape.com/catalogue/a-spys-devotion-the-regency-spies-of-london-1_3/index.html,Historical Fiction,5
69,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,In stock,Five,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,Sequential Art,5
70,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,In stock,One,https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,Sequential Art,1
71,This One Summer,19.49,In stock,Four,https://books.toscrape.com/catalogue/this-one-summer_947/index.html,Sequential Art,4
72,The Nameless City (The Nameless City #1),38.16,In stock,Four,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html,Sequential Art,4
73,"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,In stock,Two,https://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html,Sequential Art,2
74,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,In stock,Three,https://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html,Sequential Art,3
75,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,In stock,Five,https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html,Sequential Art,5
76,"Pop Gun War, Volume 1: Gift",18.97,In stock,One,https://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/index.html,Sequential Art,1
77,Patience,10.16,In stock,Three,https://books.toscrape.com/catalogue/patience_916/index.html,Sequential Art,3
78,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,In stock,Four,https://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html,Sequential Art,4
79,orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,In stock,One,https://books.toscrape.com/catalogue/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html,Sequential Art,1
80,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,In stock,Two,https://books.toscrape.com/catalogue/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html,Sequential Art,2
81,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,In stock,Three,https://books.toscrape.com/catalogue/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html,Sequential Art,3
82,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,In stock,Two,https://books.toscrape.com/catalogue/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html,Sequential Art,2
83,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,In stock,Two,https://books.toscrape.com/catalogue/i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html,Sequential Art,2
84,I am a Hero Omnibus Volume 1,54.63,In stock,Three,https://books.toscrape.com/catalogue/i-am-a-hero-omnibus-volume-1_898/index.html,Sequential Art,3
85,"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,In stock,Two,https://books.toscrape.com/catalogue/giant-days-vol-2-giant-days-5-8_895/index.html,Sequential Art,2
86,Danganronpa Volume 1,51.99,In stock,Four,https://books.toscrape.com/catalogue/danganronpa-volume-1_889/index.html,Sequential Art,4
87,"Codename Baboushka, Volume 1: The Conclave of Death",36.72,In stock,Four,https://books.toscrape.com/catalogue/codename-baboushka-volume-1-the-conclave-of-death_887/index.html,Sequential Art,4
88,Camp Midnight,17.08,In stock,Four,https://books.toscrape.com/catalogue/camp-midnight_886/index.html,Sequential Art,4
89,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,In stock,Two,https://books.toscrape.com/catalogue/bitch-planet-vol-1-extraordinary-machine-bitch-planet-collected-editions_882/index.html,Sequential Art,2
90,The Shadow Hero (The Shadow Hero),33.14,In stock,One,https://books.toscrape.com/catalogue/the-shadow-hero-the-shadow-hero_860/index.html,Sequential Art,1
91,"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,In stock,Four,https://books.toscrape.com/catalogue/fables-vol-1-legends-in-exile-fables-1_806/index.html,Sequential Art,4
92,Batman: The Long Halloween (Batman),36.5,In stock,Two,https://books.toscrape.com/catalogue/batman-the-long-halloween-batman_793/index.html,Sequential Art,2
93,Batman: The Dark Knight Returns (Batman),15.38,In stock,Five,https://books.toscrape.com/catalogue/batman-the-dark-knight-returns-batman_792/index.html,Sequential Art,5
94,"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,In stock,Four,https://books.toscrape.com/catalogue/wonder-woman-earth-one-volume-one-wonder-woman-earth-one-1_783/index.html,Sequential Art,4
95,"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.9,In stock,One,https://books.toscrape.com/catalogue/we-are-robin-vol-1-the-vigilante-business-we-are-robin-1_778/index.html,Sequential Art,1
96,Through the Woods,25.38,In stock,Two,https://books.toscrape.com/catalogue/through-the-woods_772/index.html,Sequential Art,2
97,Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,In stock,Five,https://books.toscrape.com/catalogue/superman-vol-1-before-truth-superman-by-gene-luen-yang-1_739/index.html,Sequential Art,5
98,"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,In stock,Four,https://books.toscrape.com/catalogue/so-cute-it-hurts-vol-6-so-cute-it-hurts-6_734/index.html,Sequential Art,4
99,Robin War,47.82,In stock,Three,https://books.toscrape.com/catalogue/robin-war_730/index.html,Sequential Art,3
100,"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,In stock,Two,https://books.toscrape.com/catalogue/red-hoodarsenal-vol-1-open-for-business-red-hoodarsenal-1_729/index.html,Sequential Art,2
101,"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,In stock,Two,https://books.toscrape.com/catalogue/naruto-3-in-1-edition-vol-14-includes-vols-40-41-42-naruto-omnibus-14_721/index.html,Sequential Art,2
102,Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,In stock,Two,https://books.toscrape.com/catalogue/lowriders-to-the-center-of-the-earth-lowriders-in-space-2_712/index.html,Sequential Art,2
103,El Deafo,57.62,In stock,Five,https://books.toscrape.com/catalogue/el-deafo_691/index.html,Sequential Art,5
104,Batman: Europa,32.01,In stock,Two,https://books.toscrape.com/catalogue/batman-europa_668/index.html,Sequential Art,2
105,Art Ops Vol. 1,48.8,In stock,Three,https://books.toscrape.com/catalogue/art-ops-vol-1_664/index.html,Sequential Art,3
106,"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.9,In stock,Two,https://books.toscrape.com/catalogue/adulthood-is-a-myth-a-sarahs-scribbles-collection_659/index.html,Sequential Art,2
107,"Fruits Basket, Vol. 9 (Fruits Basket #9)",33.95,In stock,Four,https://books.toscrape.com/catalogue/fruits-basket-vol-9-fruits-basket-9_563/index.html,Sequential Art,4
108,Roller Girl,14.1,In stock,Five,https://books.toscrape.com/catalogue/roller-girl_540/index.html,Sequential Art,5
109,"Fruits Basket, Vol. 7 (Fruits Basket #7)",19.57,In stock,One,https://books.toscrape.com/catalogue/fruits-basket-vol-7-fruits-basket-7_468/index.html,Sequential Art,1
110,"Fruits Basket, Vol. 6 (Fruits Basket #6)",20.96,In stock,Four,https://books.toscrape.com/catalogue/fruits-basket-vol-6-fruits-basket-6_427/index.html,Sequential Art,4
111,"Death Note, Vol. 6: Give-and-Take (Death Note #6)",36.39,In stock,Three,https://books.toscrape.com/catalogue/death-note-vol-6-give-and-take-death-note-6_425/index.html,Sequential Art,3
112,"Fruits Basket, Vol. 5 (Fruits Basket #5)",16.33,In stock,One,https://books.toscrape.com/catalogue/fruits-basket-vol-5-fruits-basket-5_376/index.html,Sequential Art,1
113,"Death Note, Vol. 5: Whiteout (Death Note #5)",52.41,In stock,One,https://books.toscrape.com/catalogue/death-note-vol-5-whiteout-death-note-5_368/index.html,Sequential Art,1
114,"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",27.88,In stock,Two,https://books.toscrape.com/catalogue/the-demon-prince-of-momochi-house-vol-4-the-demon-prince-of-momochi-house-4_344/index.html,Sequential Art,2
115,"Fruits Basket, Vol. 4 (Fruits Basket #4)",50.44,In stock,Four,https://books.toscrape.com/catalogue/fruits-basket-vol-4-fruits-basket-4_321/index.html,Sequential Art,4
116,"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",14.41,In stock,Three,https://books.toscrape.com/catalogue/the-wicked-the-divine-vol-3-commercial-suicide-the-wicked-the-divine_287/index.html,Sequential Art,3
117,"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",55.55,In stock,Five,https://books.toscrape.com/catalogue/the-sandman-vol-3-dream-country-the-sandman-volumes-3_279/index.html,Sequential Art,5
118,"Saga, Volume 3 (Saga (Collected Editions) #3)",21.57,In stock,Five,https://books.toscrape.com/catalogue/saga-volume-3-saga-collected-editions-3_216/index.html,Sequential Art,5
119,Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),43.63,In stock,Three,https://books.toscrape.com/catalogue/prodigy-the-graphic-novel-legend-the-graphic-novel-2_207/index.html,Sequential Art,3
120,Persepolis: The Story of a Childhood (Persepolis #1-2),39.13,In stock,One,https://books.toscrape.com/catalogue/persepolis-the-story-of-a-childhood-persepolis-1-2_206/index.html,Sequential Art,1
121,Original Fake,31.45,In stock,Three,https://books.toscrape.com/catalogue/original-fake_203/index.html,Sequential Art,3
122,"Grayson, Vol 3: Nemesis (Grayson #3)",42.72,In stock,One,https://books.toscrape.com/catalogue/grayson-vol-3-nemesis-grayson-3_164/index.html,Sequential Art,1
123,"Fruits Basket, Vol. 3 (Fruits Basket #3)",45.17,In stock,Two,https://books.toscrape.com/catalogue/fruits-basket-vol-3-fruits-basket-3_159/index.html,Sequential Art,2
124,"Black Butler, Vol. 1 (Black Butler #1)",49.31,In stock,One,https://books.toscrape.com/catalogue/black-butler-vol-1-black-butler-1_130/index.html,Sequential Art,1
125,Awkward,38.02,In stock,Two,https://books.toscrape.com/catalogue/awkward_124/index.html,Sequential Art,2
126,"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",54.81,In stock,One,https://books.toscrape.com/catalogue/the-sandman-vol-2-the-dolls-house-the-sandman-volumes-2_110/index.html,Sequential Art,1
127,"Saga, Volume 2 (Saga (Collected Editions) #2)",11.75,In stock,Three,https://books.toscrape.com/catalogue/saga-volume-2-saga-collected-editions-2_107/index.html,Sequential Art,3
128,"Fruits Basket, Vol. 2 (Fruits Basket #2)",11.64,In stock,Five,https://books.toscrape.com/catalogue/fruits-basket-vol-2-fruits-basket-2_100/index.html,Sequential Art,5
129,"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",18.51,In stock,Four,https://books.toscrape.com/catalogue/y-the-last-man-vol-1-unmanned-y-the-last-man-1_98/index.html,Sequential Art,4
130,"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",36.52,In stock,Two,https://books.toscrape.com/catalogue/the-wicked-the-divine-vol-1-the-faust-act-the-wicked-the-divine_86/index.html,Sequential Art,2
131,"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",54.12,In stock,Three,https://books.toscrape.com/catalogue/the-sandman-vol-1-preludes-and-nocturnes-the-sandman-volumes-1_79/index.html,Sequential Art,3
132,The Complete Maus (Maus #1-2),10.64,In stock,Three,https://books.toscrape.com/catalogue/the-complete-maus-maus-1-2_62/index.html,Sequential Art,3
133,"Skip Beat!, Vol. 01 (Skip Beat! #1)",42.12,In stock,Three,https://books.toscrape.com/catalogue/skip-beat-vol-01-skip-beat-1_55/index.html,Sequential Art,3
134,"Saga, Volume 1 (Saga (Collected Editions) #1)",28.48,In stock,One,https://books.toscrape.com/catalogue/saga-volume-1-saga-collected-editions-1_48/index.html,Sequential Art,1
135,"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",46.96,In stock,Five,https://books.toscrape.com/catalogue/rat-queens-vol-1-sass-sorcery-rat-queens-collected-editions-1-5_46/index.html,Sequential Art,5
136,"Paper Girls, Vol. 1 (Paper Girls #1-5)",21.71,In stock,Four,https://books.toscrape.com/catalogue/paper-girls-vol-1-paper-girls-1-5_44/index.html,Sequential Art,4
137,"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",29.87,In stock,Three,https://books.toscrape.com/catalogue/ouran-high-school-host-club-vol-1-ouran-high-school-host-club-1_43/index.html,Sequential Art,3
138,"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",39.39,In stock,Four,https://books.toscrape.com/catalogue/ms-marvel-vol-1-no-normal-ms-marvel-2014-2015-1_34/index.html,Sequential Art,4
139,"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",45.24,In stock,Three,https://books.toscrape.com/catalogue/hawkeye-vol-1-my-life-as-a-weapon-hawkeye-1_24/index.html,Sequential Art,3
140,"Giant Days, Vol. 1 (Giant Days #1-4)",56.76,In stock,Four,https://books.toscrape.com/catalogue/giant-days-vol-1-giant-days-1-4_22/index.html,Sequential Art,4
141,"Fruits Basket, Vol. 1 (Fruits Basket #1)",40.28,In stock,Five,https://books.toscrape.com/catalogue/fruits-basket-vol-1-fruits-basket-1_21/index.html,Sequential Art,5
142,"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",34.65,In stock,Five,https://books.toscrape.com/catalogue/bleach-vol-1-strawberry-and-the-soul-reapers-bleach-1_7/index.html,Sequential Art,5
143,"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",57.06,In stock,Four,https://books.toscrape.com/catalogue/ajin-demi-human-volume-1-ajin-demi-human-1_4/index.html,Sequential Art,4
144,The Secret Garden,15.08,In stock,Four,https://books.toscrape.com/catalogue/the-secret-garden_413/index.html,Classics,4
145,The Metamorphosis,28.58,In stock,One,https://books.toscrape.com/catalogue/the-metamorphosis_409/index.html,Classics,1
146,The Pilgrim's Progress,50.26,In stock,Two,https://books.toscrape.com/catalogue/the-pilgrims-progress_353/index.html,Classics,2
147,The Hound of the Baskervilles (Sherlock Holmes #5),14.82,In stock,Two,https://books.toscrape.com/catalogue/the-hound-of-the-baskervilles-sherlock-holmes-5_348/index.html,Classics,2
148,Little Women (Little Women #1),28.07,In stock,Four,https://books.toscrape.com/catalogue/little-women-little-women-1_331/index.html,Classics,4
149,Gone with the Wind,32.49,In stock,Three,https://books.toscrape.com/catalogue/gone-with-the-wind_324/index.html,Classics,3
150,Candide,58.63,In stock,Three,https://books.toscrape.com/catalogue/candide_316/index.html,Classics,3
151,Animal Farm,57.22,In stock,Three,https://books.toscrape.com/catalogue/animal-farm_313/index.html,Classics,3
152,Wuthering Heights,17.73,In stock,Three,https://books.toscrape.com/catalogue/wuthering-heights_307/index.html,Classics,3
153,The Picture of Dorian Gray,29.7,In stock,Two,https://books.toscrape.com/catalogue/the-picture-of-dorian-gray_270/index.html,Classics,2
154,The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),26.78,In stock,Four,https://books.toscrape.com/catalogue/the-complete-stories-and-poems-the-works-of-edgar-allan-poe-cameo-edition_238/index.html,Classics,4
155,Beowulf,38.35,In stock,Two,https://books.toscrape.com/catalogue/beowulf_126/index.html,Classics,2
156,And Then There Were None,35.01,In stock,Two,https://books.toscrape.com/catalogue/and-then-there-were-none_119/index.html,Classics,2
157,The Story of Hong Gildong,43.19,In stock,Four,https://books.toscrape.com/catalogue/the-story-of-hong-gildong_84/index.html,Classics,4
158,The Little Prince,45.42,In stock,Two,https://books.toscrape.com/catalogue/the-little-prince_72/index.html,Classics,2
159,Sense and Sensibility,37.46,In stock,One,https://books.toscrape.com/catalogue/sense-and-sensibility_49/index.html,Classics,1
160,Of Mice and Men,47.11,In stock,Two,https://books.toscrape.com/catalogue/of-mice-and-men_37/index.html,Classics,2
161,Emma,32.93,In stock,Two,https://books.toscrape.com/catalogue/emma_17/index.html,Classics,2
162,Alice in Wonderland (Alice's Adventures in Wonderland #1),55.53,In stock,One,https://books.toscrape.com/catalogue/alice-in-wonderland-alices-adventures-in-wonderland-1_5/index.html,Classics,1
163,Sophie's World,15.94,In stock,Five,https://books.toscrape.com/catalogue/sophies-world_966/index.html,Philosophy,5
164,The Death of Humanity: and the Case for Life,58.11,In stock,Four,https://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html,Philosophy,4
165,The Stranger,17.44,In stock,Four,https://books.toscrape.com/catalogue/the-stranger_861/index.html,Philosophy,4
166,Proofs of God: Classical Arguments from Tertullian to Barth,54.21,In stock,One,https://books.toscrape.com/catalogue/proofs-of-god-classical-arguments-from-tertullian-to-barth_538/index.html,Philosophy,1
167,Kierkegaard: A Christian Missionary to Christians,47.13,In stock,One,https://books.toscrape.com/catalogue/kierkegaard-a-christian-missionary-to-christians_527/index.html,Philosophy,1
